,logFC,AveExpr,t,P.Value,adj.P.Val,B
cnpy2,0.641248124,2.793778854,4.401750704,0.002176455,0.020188082,-1.212920076
LOC100147849,-0.545588545,3.702438116,-4.401631459,0.002176807,0.020188082,-1.388218513
ctns,-0.705356781,2.653369929,-4.401215203,0.002178035,0.020190797,-1.170648844
smc5,-0.316655375,4.445796571,-4.400674837,0.002179631,0.020196914,-1.566150189
hhla2b.1,-1.068178086,0.784733541,-4.398844381,0.002185046,0.020238399,-1.051737901
si:dkeyp-106c3.1,0.412295023,4.769833589,4.396518595,0.002191947,0.020289935,-1.654206396
six4a,-0.320809531,4.052552113,-4.396335766,0.00219249,0.020289935,-1.483772591
fbxl2,-0.363043244,4.428874257,-4.395645817,0.002194542,0.020300222,-1.567980442
nova2,0.186664197,7.769105154,4.395005985,0.002196447,0.020309139,-2.082223202
gtpbp2b,0.236406568,5.285124099,4.393730611,0.00220025,0.020333042,-1.760568168
hist1h2a5,-1.640821277,-0.067116558,-4.393507203,0.002200917,0.020333042,-1.15831726
slc25a28,1.385505544,3.370142814,4.38779367,0.002218045,0.020482516,-1.335765086
si:ch211-244o22.2,0.368996436,4.366062592,4.385242751,0.002225739,0.020544773,-1.582768588
LOC101886147,-1.251455951,1.864620488,-4.384655871,0.002227513,0.020552359,-1.080243459
dnajc5ab,0.202803202,6.630567591,4.384014628,0.002229454,0.020561471,-1.986736402
gphnb,0.48798281,5.693548405,4.38258171,0.002233796,0.020592718,-1.85138872
slc38a4,0.2133238,6.820419899,4.381132049,0.002238198,0.020624491,-2.01324271
phactr2,-0.407696504,4.126849723,-4.378452674,0.00224636,0.020690862,-1.523119742
si:dkey-94f20.4,0.513507225,2.775007887,4.377774272,0.002248431,0.020695864,-1.242699203
gnpat2,0.517636195,3.192343333,4.377646781,0.002248821,0.020695864,-1.329123481
gpib,0.277132148,6.458389159,4.376977363,0.002250867,0.020705868,-1.975413901
kmt2ca,-0.205451947,6.246732177,-4.375404534,0.002255683,0.020741331,-1.943423552
pvalb5,0.263318933,4.995847426,4.375085229,0.002256663,0.020741497,-1.730979
stil,0.76539155,1.45178135,4.374672791,0.002257928,0.020744292,-1.079586033
mkrn1,-0.302540965,5.823574145,-4.374314282,0.002259028,0.020745572,-1.876656724
ly6pge,0.300134874,5.16098139,4.373487004,0.00226157,0.020757544,-1.766376257
slc12a2,0.247697487,6.751633079,4.373264048,0.002262256,0.020757544,-2.017001592
pdlim1,-0.51334259,5.528778637,-4.372754062,0.002263825,0.020758382,-1.821772558
si:ch211-181d7.2,-0.62112478,1.809210933,-4.37231787,0.002265168,0.020758382,-1.101574002
dennd2db,-0.765954018,1.65334536,-4.372296685,0.002265233,0.020758382,-1.088605149
col5a2b,0.422231926,4.500858567,4.36976987,0.002273029,0.020820985,-1.634862093
LOC100536671,-0.520919404,3.486512325,-4.368936899,0.002275606,0.020835742,-1.387057854
osbp,-0.206542416,6.180803684,-4.368244257,0.00227775,0.020845423,-1.943987802
ano9b,-0.35488188,4.055285605,-4.367971741,0.002278595,0.020845423,-1.523540103
mamdc2a,0.629241812,3.145700022,4.366405028,0.002283456,0.020881045,-1.334121156
pygmb,0.18450805,7.747105206,4.366091292,0.002284431,0.020881111,-2.122449738
tnrc6bb.1,-0.415315337,4.7528459,-4.364500385,0.002289381,0.020917499,-1.682064232
arrdc2,-0.636435957,5.928335373,-4.363194406,0.002293453,0.020945838,-1.901489345
clec16a,-0.223153247,5.434192913,-4.362262575,0.002296364,0.020963546,-1.827246943
si:ch211-161m3.2,-0.458386807,2.854455245,-4.361221882,0.002299619,0.020984385,-1.268218919
mpz,0.70293511,1.94435417,4.360588987,0.002301601,0.020993594,-1.138757959
LOC569340,0.361847259,5.358163823,4.358312143,0.002308746,0.021049874,-1.826196418
ppt1,-0.430529279,5.260173172,-4.356611023,0.002314101,0.021089782,-1.796857255
pnp4b,-0.615027891,4.735530543,-4.354352867,0.002321229,0.021145818,-1.685070613
bin2b,-0.588048723,2.775020495,-4.353756351,0.002323116,0.021154078,-1.259920263
nfybb,-0.68358575,4.073301343,-4.353251694,0.002324714,0.021159698,-1.53584489
LOC137491433,0.247120763,4.977855207,4.352854375,0.002325972,0.02116131,-1.759279712
arl15b,1.649309835,1.720122055,4.352576909,0.002326852,0.02116131,-1.118815053
rhpn2,-0.294518476,5.108671578,-4.350895263,0.00233219,0.021195859,-1.77887021
arhgap29b,-0.268590261,5.133251819,-4.350761414,0.002332615,0.021195859,-1.784650048
lima1b,-0.205311545,5.766095021,-4.350172104,0.002334489,0.02120396,-1.904092271
shc3,0.426005153,4.185699816,4.349519163,0.002336567,0.021213908,-1.593513904
nif3l1,0.357179624,4.056431179,4.349116528,0.00233785,0.021216627,-1.564524486
si:ch211-220i18.4,0.781442517,1.520092559,4.3466393,0.002345758,0.021279445,-1.119367952
psd2,0.32475869,4.908446492,4.343734129,0.002355069,0.021348475,-1.758795966
obscnb,0.238134194,6.690578841,4.343647786,0.002355346,0.021348475,-2.052963762
aup1,-0.302003841,4.96457062,-4.342171088,0.002360094,0.021382535,-1.762043449
itgb1b.1,0.245699499,6.708977943,4.341770759,0.002361384,0.021385236,-2.057894455
myl9b,-0.342065862,6.440993108,-4.340983454,0.002363921,0.021399235,-2.018134166
ppil1,0.394554059,4.132152806,4.339245118,0.002369534,0.021441052,-1.595923331
itprid2,-0.308054554,4.8579283,-4.337556076,0.002375001,0.021481519,-1.746491839
gnptg,-0.561548169,3.468832285,-4.334809059,0.002383923,0.021553178,-1.42963376
gyg1a,-0.256100664,5.614662983,-4.334016989,0.002386502,0.02156746,-1.900286424
epb41l4b,-0.299848538,4.500340069,-4.333153841,0.002389316,0.021583852,-1.675621358
timm29,0.326635557,3.923306454,4.328451599,0.002404709,0.021713814,-1.563411643
btbd8,0.242394151,6.174634664,4.326462424,0.002411252,0.021763796,-2.009120368
scamp1,0.281693391,4.732244273,4.324055682,0.002419195,0.021821932,-1.750082235
rbp5,0.394784333,4.671204125,4.323640584,0.002420568,0.021821932,-1.738217262
tbc1d12a,0.5589071,3.884982627,4.323592648,0.002420727,0.021821932,-1.561742337
ndufa7,0.335060802,5.005044442,4.321197039,0.002428667,0.021884365,-1.811281487
mbd3b,0.225152845,5.550146662,4.319459396,0.002434443,0.021927262,-1.916914759
emilin3,0.324008605,4.568092015,4.318744404,0.002436825,0.021939554,-1.722589626
sema4e,-0.318706807,4.735207178,-4.316847999,0.002443153,0.021978247,-1.750018522
erbb3a,-0.243179368,5.842726189,-4.316846068,0.002443159,0.021978247,-1.964593736
tbc1d7,-0.286602964,4.506924923,-4.316529883,0.002444216,0.021978593,-1.701368312
dub,-0.633188507,3.189180108,-4.312795025,0.002456736,0.022081977,-1.396750347
ulk1a,0.402250292,4.221637046,4.312272751,0.002458493,0.022088564,-1.655076986
pik3r3b,0.279163886,5.592249397,4.310487868,0.002464505,0.022133371,-1.937768799
slc16a12b,0.32112239,4.882640455,4.30903642,0.002469406,0.022166441,-1.803656242
ralab,-0.4843351,4.556431595,-4.308543777,0.002471072,0.022166441,-1.717192381
musk,-0.639533644,3.016755701,-4.308218432,0.002472173,0.022166441,-1.367430587
pla2g15,0.333680899,7.663651334,4.308182065,0.002472296,0.022166441,-2.200313201
si:dkey-14d8.6,-0.668804153,2.745763043,-4.306014057,0.002479646,0.022223104,-1.318271727
tbc1d5,-0.287171384,5.347698444,-4.304139726,0.002486019,0.022270971,-1.893808826
fxyd2,1.043227143,2.445523432,4.302517924,0.002491547,0.022291417,-1.283875074
si:ch211-195m9.3,-0.614382136,2.30888109,-4.302348064,0.002492127,0.022291417,-1.253028036
ttk,0.342374923,4.57932688,4.302167073,0.002492745,0.022291417,-1.749088952
il17rd,-0.430255537,4.831292901,-4.30209631,0.002492987,0.022291417,-1.788170669
atp11a,-0.266000023,5.842651715,-4.301197827,0.002496057,0.022291417,-1.987004698
noxo1b,-1.997581135,0.394423956,-4.30109587,0.002496406,0.022291417,-1.208986151
pms1,-0.430082763,3.162847093,-4.301067009,0.002496505,0.022291417,-1.414755849
nploc4,-0.279660158,5.660142641,-4.301049505,0.002496564,0.022291417,-1.95576158
fosab,-1.842705361,2.801786982,-4.298225759,0.002506243,0.022361793,-1.28992143
septin9a,-0.218572341,5.857088343,-4.297580942,0.002508459,0.022361793,-1.995563881
papss2b,0.235003154,5.755924496,4.297553629,0.002508553,0.022361793,-1.984825806
slc25a24,-0.366237362,4.901798825,-4.297542479,0.002508591,0.022361793,-1.811693772
col1a1b,0.350073278,11.20061915,4.29434988,0.002519594,0.0224422,-2.463846797
camsap2b,0.326928135,4.30284134,4.29432172,0.002519691,0.0224422,-1.69892646
fgf12b,0.269378623,5.455345538,4.293592014,0.002522213,0.02245354,-1.93764116
gja2,-0.461728421,3.705354489,-4.293351521,0.002523045,0.02245354,-1.545746127
ascc3,-0.290020081,5.401622644,-4.292710524,0.002525264,0.022458888,-1.920523649
bcorl1,-0.291551683,4.512090165,-4.292310462,0.002526649,0.022458888,-1.73736783
acp2,-0.323493342,4.567885442,-4.291890184,0.002528106,0.022458888,-1.749302261
celf4,0.243904802,6.055351051,4.291882984,0.002528131,0.022458888,-2.041677815
cbsb,0.310311967,5.587682982,4.291577631,0.00252919,0.022458888,-1.964659837
adipor2,0.237938179,6.52520126,4.291215607,0.002530446,0.022458888,-2.10902625
usp8,-0.281452797,6.847024755,-4.291075938,0.002530931,0.022458888,-2.142370317
dlg4b,0.226039009,5.634172149,4.290367185,0.002533392,0.022471491,-1.974127598
btg2,-0.306491788,5.334345257,-4.289768081,0.002535475,0.022476854,-1.91166527
npr2,-0.328177837,4.814366027,-4.289594174,0.00253608,0.022476854,-1.805966098
hnrnpr,0.320621334,7.748014391,4.288969513,0.002538254,0.022478441,-2.235572607
fndc3bb,-0.277227076,5.06245204,-4.288944194,0.002538342,0.022478441,-1.859788927
wu:fl23c11,-0.635361847,2.569930923,-4.287976238,0.002541715,0.022499079,-1.313571436
si:ch211-207n23.2,-0.678213038,3.745928398,-4.287232682,0.002544309,0.02251281,-1.554551961
mhc1zja,-1.362483515,-0.109527869,-4.286108596,0.002548237,0.022535011,-1.273154658
rasa3,0.25072028,5.692638758,4.285483459,0.002550424,0.022535011,-1.991700096
si:dkey-4p15.5,-0.307570073,5.136425869,-4.285162893,0.002551546,0.022535011,-1.879319184
slc49a4,-0.294896063,5.235011324,-4.28504162,0.002551971,0.022535011,-1.899475007
zgc:65894,0.34577585,7.562726967,4.285022003,0.00255204,0.022535011,-2.225628348
mbtps2,-0.322414205,4.068595202,-4.284296052,0.002554584,0.022548248,-1.647643838
prr33,0.189219454,6.943874618,4.283379851,0.002557798,0.022567307,-2.169073941
dclk2b,0.636177863,3.622414172,4.28308483,0.002558834,0.022567307,-1.558739645
sumo3a,0.21894242,7.103879796,4.281454088,0.002564569,0.022608645,-2.188297802
plcxd2,0.696575831,1.709003095,4.280431825,0.002568171,0.022631156,-1.220645704
atf6,-0.263973012,5.323686962,-4.278487348,0.002575038,0.022674629,-1.927184467
jph3b,0.313930964,4.566012553,4.278415783,0.002575291,0.022674629,-1.780432092
tomm40l,0.246699553,4.897121272,4.278142858,0.002576256,0.022674629,-1.851037206
LOC108179508,-0.836807072,2.144289709,-4.277418729,0.00257882,0.022687939,-1.258892315
qpct,0.405287831,3.852552743,4.276790344,0.002581047,0.022698277,-1.621444125
nradd,-0.344947551,3.987077872,-4.274668719,0.002588581,0.022755257,-1.641966323
pklr,-0.231078187,7.405184722,-4.273578195,0.002592462,0.0227768,-2.226079646
plcb1l,0.390219361,4.933690572,4.273387381,0.002593142,0.0227768,-1.866232235
cfap65,-0.996141978,1.041653271,-4.273066757,0.002594285,0.022777567,-1.196860859
si:dkey-28n18.9,0.62853162,3.259911132,4.271092415,0.002601334,0.022830166,-1.493522939
mcl1b,-0.493751705,5.160601804,-4.269639295,0.002606535,0.022866514,-1.901390216
emp1,0.365184993,3.792541172,4.268509327,0.002610587,0.022885672,-1.619227687
crygm2d18,0.216258542,7.843556423,4.268438974,0.002610839,0.022885672,-2.27343565
ftr34,-0.965134026,0.233181603,-4.265539714,0.002621269,0.022967763,-1.24830603
c3a.4,-1.380779072,-0.313755058,-4.265213294,0.002622446,0.02296875,-1.327040913
slc27a6,-0.61993184,3.021446713,-4.263930489,0.002627077,0.022995929,-1.430791462
rida,-0.228568588,6.27114772,-4.2637636,0.00262768,0.022995929,-2.109404533
ldlrad3,-0.424897944,4.33846394,-4.263176335,0.002629804,0.023004224,-1.735807088
kiaa0895l,0.403110907,3.154429534,4.262912074,0.00263076,0.023004224,-1.481987654
cenpi,0.422958895,3.399204683,4.261147511,0.002637154,0.023050799,-1.539573226
pgm5,1.231743955,0.292588352,4.260782433,0.002638479,0.023053044,-1.242093358
LOC407643,-0.237517002,6.271739227,-4.258186756,0.002647921,0.023124799,-2.117497967
LOC137489845,-0.529891176,3.576717713,-4.257926768,0.002648869,0.023124799,-1.564027544
sult5a1,-1.163575182,0.918566958,-4.257642181,0.002649906,0.023124799,-1.217992148
pim1,-0.239118714,6.597215061,-4.256275597,0.002654896,0.023157725,-2.164134767
ip6k2a,0.169219883,7.263268092,4.25602129,0.002655826,0.023157725,-2.240813279
adsl,0.333949651,5.982253181,4.255022666,0.002659479,0.023172003,-2.084754614
si:dkey-63b1.1,-1.362061209,-0.277484446,-4.254986898,0.00265961,0.023172003,-1.331936191
sox11b,0.191221688,7.132249573,4.254325689,0.002662033,0.023183749,-2.230861714
scg2a,-0.283167861,5.163520908,-4.251434953,0.002672651,0.023266836,-1.934746906
dldh,0.160499046,7.855582782,4.250058843,0.002677722,0.023301581,-2.30135093
peak1,-0.330690958,4.694858543,-4.249434578,0.002680026,0.023310911,-1.838645718
LOC564748,-1.02673893,2.524072869,-4.249022443,0.002681548,0.023310911,-1.347232987
ms4a17a.8,-1.0315828,2.556685484,-4.248890712,0.002682035,0.023310911,-1.352621671
si:ch211-214b16.2,-0.858362471,1.358088653,-4.248144342,0.002684794,0.023325501,-1.233335193
LOC108179661,-0.962269664,0.910817254,-4.247652215,0.002686615,0.023327616,-1.229815854
h2az2a,0.181773918,6.174133044,4.247494412,0.0026872,0.023327616,-2.124146051
ube4b,-0.246658501,6.445354798,-4.246565945,0.00269064,0.023342951,-2.158606905
ncoa1,-0.229416499,5.347514286,-4.246433946,0.002691129,0.023342951,-1.979218583
nrgnb,0.423305591,4.256072157,4.243891311,0.002700577,0.023410392,-1.761573921
aff1,-0.807294439,1.496510928,-4.243691875,0.002701319,0.023410392,-1.245436226
zmynd19,0.344537296,4.100157861,4.243466518,0.002702159,0.023410392,-1.726274135
fbxo34,-0.243315348,6.120256846,-4.242607586,0.00270536,0.023428723,-2.117632274
anxa5b,-0.192863963,6.346255771,-4.241560763,0.002709268,0.02345315,-2.153248939
rabep1,0.274961151,5.185473235,4.240045468,0.002714934,0.023484489,-1.964856659
arf3a,0.336014116,3.82436117,4.240008631,0.002715072,0.023484489,-1.667408335
kif19,-0.462198121,4.089961928,-4.23972024,0.002716152,0.023484489,-1.71151949
cd81b,0.503510751,3.777354875,4.239028248,0.002718746,0.023497498,-1.658300731
si:ch211-120k19.1,0.796815141,1.686341017,4.238584455,0.00272041,0.023502472,-1.273484219
grin2ba,0.290029361,4.623198787,4.237112212,0.00272594,0.023540824,-1.852700494
dnajc5aa,0.325993707,5.450555802,4.235088088,0.002733563,0.023597211,-2.022549457
cacng8b,0.288498414,5.003627886,4.233888963,0.00273809,0.023626836,-1.937666354
itm2cb,0.257105204,6.003386135,4.232641612,0.002742807,0.023658082,-2.120533661
apip,-0.396486363,3.913868674,-4.231177403,0.002748356,0.023696471,-1.68556625
abracl,-0.330483904,5.378886123,-4.230363727,0.002751444,0.023713627,-2.006381006
mib2,-0.312687338,3.973186637,-4.229859871,0.002753359,0.023720654,-1.704123819
cyb5r2,0.413481128,4.23906599,4.229058197,0.002756408,0.023737446,-1.779223106
phka1a,0.213314931,5.531276837,4.227844085,0.002761033,0.023767016,-2.04723616
acbd5a,-0.276095925,4.754945118,-4.227578796,0.002762044,0.023767016,-1.884820452
psmc1b,-0.211234521,6.071115907,-4.226503235,0.00276615,0.023785106,-2.134337155
prpf38b,0.201781413,5.728568534,4.226450588,0.002766351,0.023785106,-2.084021093
fas,-1.538862172,0.277271376,-4.226088002,0.002767736,0.023785573,-1.298439544
lgals3b,-0.40025503,6.257803285,-4.225859643,0.002768609,0.023785573,-2.159618577
si:dkey-119m7.4,-0.39961164,3.923817023,-4.22490049,0.00277228,0.023807626,-1.696869506
LOC108185957,0.608595701,4.865248929,4.224212569,0.002774915,0.023820781,-1.923506773
LOC137496312,-1.247992008,0.320835431,-4.2235433,0.002777482,0.023830757,-1.292432818
suv39h1b,0.459058122,4.001607821,4.223333786,0.002778286,0.023830757,-1.73298756
oxsm,-0.360033781,3.96346604,-4.222011356,0.002783366,0.023864852,-1.711627726
ngs,-0.340041637,7.226110645,-4.219604596,0.002792639,0.023934844,-2.287488662
gabrb2a,0.284612231,4.835114113,4.219279423,0.002793894,0.023936097,-1.92411824
cadpsb,0.174338895,7.400924575,4.218053805,0.002798631,0.023960045,-2.309484744
herpud1,-0.358434286,5.438655254,-4.217981719,0.00279891,0.023960045,-2.034966358
fth1b,0.425735209,4.431781134,4.216800458,0.002803484,0.023989686,-1.840594225
fthl29,-0.54441712,3.330741918,-4.213447955,0.00281651,0.024091594,-1.571419742
hivep1,0.26375828,5.540399187,4.212916857,0.002818579,0.024099744,-2.071156161
kif13ba,-0.191031044,6.406114394,-4.212529725,0.002820089,0.024103101,-2.20433351
sort1b,-0.297513102,5.631611494,-4.212119897,0.002821687,0.02410722,-2.080460834
ppp3cb,0.241075186,6.71059022,4.211025407,0.002825962,0.0241281,-2.249823571
tgfbr3,-0.40007322,4.413410882,-4.210828916,0.002826731,0.0241281,-1.829733714
coro1ca,-0.219102021,6.22020305,-4.210635925,0.002827485,0.0241281,-2.180177856
nes,0.307436996,3.836600239,4.210306968,0.002828772,0.024129541,-1.712905403
acot19,-0.943636386,2.153839017,-4.209655326,0.002831324,0.024141762,-1.349114429
tmem179aa,0.434137735,3.684323655,4.20894444,0.00283411,0.024155974,-1.680008894
itgb2,-0.516428173,2.963648967,-4.207495592,0.002839797,0.024194894,-1.502460798
saraf,-0.406300838,4.555983502,-4.207148824,0.00284116,0.024196954,-1.866852578
cdhr5b,-0.39454975,3.528967634,-4.206026814,0.002845576,0.024224996,-1.632361703
hspa5,-0.175748055,9.398724391,-4.205021359,0.002849538,0.024240806,-2.47965359
paqr4b,0.758661742,1.896888391,4.204985667,0.002849679,0.024240806,-1.340939033
LOC100333218,-0.950767416,1.020196266,-4.201793962,0.002862299,0.02433856,-1.28577307
scn2b,0.265823315,5.353337858,4.201373375,0.002863966,0.024343147,-2.053654255
LOC100330861,0.426790103,4.568561319,4.200325162,0.002868126,0.0243629,-1.894989885
prx,-0.283939025,6.90709645,-4.200219039,0.002868548,0.0243629,-2.28298847
scpp5,0.577072599,3.550567482,4.198191121,0.002876616,0.024421814,-1.664229045
slc2a2,0.291674168,4.901007764,4.197506923,0.002879344,0.024435358,-1.969830512
kel,-0.403903907,4.624963829,-4.196567274,0.002883094,0.024454564,-1.897890184
nup85,0.258240861,4.445866482,4.196222108,0.002884473,0.024454564,-1.872912584
pfkfb2b,0.406813797,3.516622383,4.196088767,0.002885006,0.024454564,-1.659486795
sugt1,-0.304640471,5.10571161,-4.195258449,0.002888327,0.024473101,-2.004521501
atp5f1c,0.144855569,8.667285999,4.194536282,0.002891219,0.024476836,-2.445126801
gbp2,-0.760448652,1.370514428,-4.19432228,0.002892076,0.024476836,-1.303602592
zmp:0000001267,1.800147581,-0.637144888,4.194298788,0.002892171,0.024476836,-1.44299801
LOC101885096,-1.177089162,0.665614263,-4.192116283,0.002900932,0.02454136,-1.306173002
insyn1,0.333155935,4.530193861,4.191826937,0.002902095,0.024541584,-1.898640157
cldc1,-1.821832139,1.861221469,-4.190605299,0.002907014,0.024548756,-1.324519494
rcvrna,0.823880458,2.714237095,4.19040813,0.002907809,0.024548756,-1.489571416
tead3a,-0.411720774,4.160722555,-4.190232626,0.002908516,0.024548756,-1.801430861
cftr,-0.526456453,3.038178217,-4.190130686,0.002908927,0.024548756,-1.541680256
si:dkey-266f7.9,-0.523319713,2.647383175,-4.189876164,0.002909954,0.024548756,-1.466047163
si:ch211-265o23.1,0.667761906,2.101719186,4.189818857,0.002910185,0.024548756,-1.388573334
b2m,-1.12764515,1.14197718,-4.189640198,0.002910906,0.024548756,-1.30164349
txnb,-0.647124598,4.45875019,-4.187856583,0.002918114,0.02459993,-1.864011912
acacb,-0.232040247,6.663075957,-4.186867695,0.002922119,0.024624069,-2.274677249
fermt1,-0.257698257,4.832520371,-4.186201047,0.002924821,0.024637226,-1.962652726
ctbp2l,0.241386652,5.941691859,4.18579208,0.002926481,0.024641587,-2.179571808
ctnnd1,-0.254797958,6.997994869,-4.185479803,0.002927749,0.024642647,-2.315137082
rbl1,-0.299926772,4.342404274,-4.184499111,0.002931734,0.024666572,-1.855552314
hnmt,0.410999229,3.451318472,4.183806536,0.002934552,0.02468066,-1.662054565
si:ch211-133n4.4,0.245563969,6.067299394,4.18093964,0.002946249,0.024769377,-2.20650767
atg16l2,-0.965554544,0.903898846,-4.180255863,0.002949046,0.024769408,-1.313338147
mob3a,-0.344052086,4.469484559,-4.1801302,0.00294956,0.024769408,-1.888988354
pkd1a,-0.277538404,5.477345782,-4.180097101,0.002949695,0.024769408,-2.100095651
snx9a,-0.301146028,4.864555092,-4.179144963,0.002953596,0.024792514,-1.978476331
zgc:113142,0.918800897,0.458976455,4.176086696,0.002966162,0.024888313,-1.329932144
cthl,-0.701839509,2.12885373,-4.175774124,0.00296745,0.02488944,-1.397750419
flnca,-0.237654427,6.590865091,-4.172497816,0.002980982,0.024993226,-2.286918503
atp6v0b,0.252119716,6.139662907,4.17102798,0.002987074,0.02503458,-2.232136699
wnt6a,-1.108131173,0.292682646,-4.169554209,0.002993196,0.025072642,-1.355879644
vash2,-0.363635123,5.072108061,-4.169375585,0.002993939,0.025072642,-2.034213195
ube2t,0.561054535,2.247659893,4.169023636,0.002995403,0.025075176,-1.439012001
tmcc3,-0.287459344,4.861706236,-4.167414647,0.003002108,0.025121557,-1.995512208
LOC137496690,-0.849457223,1.319442531,-4.165811013,0.003008806,0.025162259,-1.33781763
LOC100536777,-0.398837095,3.875553879,-4.165264564,0.003011093,0.025162259,-1.772185297
LOC103911026,-1.071489749,-0.129531897,-4.164765366,0.003013183,0.025162259,-1.403931085
kcnj6,0.578394853,3.386646549,4.164646661,0.00301368,0.025162259,-1.674410927
tbata,-0.789676751,1.092428737,-4.164507132,0.003014265,0.025162259,-1.333479825
megf6a,0.633407363,2.499019507,4.16414059,0.003015801,0.025162259,-1.487508588
h1-10,-0.939326589,6.72787008,-4.164098496,0.003015977,0.025162259,-2.300973158
ppp1r9ala,-0.239771423,5.500464115,-4.164021614,0.0030163,0.025162259,-2.128877128
nalf2,0.50077647,2.840507184,4.163584922,0.003018131,0.025166659,-1.554844722
rbm28,-0.269355488,5.058456593,-4.163124345,0.003020065,0.025166659,-2.04322908
dspa,-0.186566534,7.483490105,-4.162874459,0.003021114,0.025166659,-2.396941109
gpr31,-0.730442495,3.109861801,-4.16278455,0.003021492,0.025166659,-1.587923131
slc29a3,-0.604610876,2.68724351,-4.162042301,0.003024612,0.025182926,-1.510278806
LOC101884469,-0.930565916,0.944879076,-4.161306827,0.003027707,0.025198972,-1.3366171
kcnb2a,0.35541513,3.854465375,4.157623362,0.003043258,0.025318637,-1.793615637
zwi,0.524864873,4.373647688,4.156648724,0.003047387,0.02534322,-1.915220857
pde6hb,0.311253341,6.213261564,4.156367094,0.003048581,0.025343386,-2.264965807
gad1b,0.174152742,7.405435135,4.155757791,0.003051167,0.025355113,-2.402133594
fbxo46,-0.249552695,5.014807041,-4.154282675,0.003057436,0.025397431,-2.047838006
dnaja2b,0.171767868,7.061426693,4.152167226,0.003066451,0.025462516,-2.374711985
lmtk3,0.193800963,6.350974617,4.151831145,0.003067886,0.025464632,-2.290750997
sec23b,0.188801111,6.427158796,4.150697149,0.003072733,0.025495056,-2.30273384
phkb,0.489462901,6.181528982,4.149733089,0.003076859,0.025519486,-2.270500094
slc25a11,0.20619953,7.033078572,4.149335675,0.003078562,0.025523801,-2.376227841
ttc3,-0.321350691,6.376612468,-4.147868556,0.003084858,0.025566175,-2.293505335
lrfn5b,0.312596159,5.151698431,4.145866432,0.003093472,0.02562772,-2.09675998
grhpra,0.585959148,3.153793274,4.14469079,0.003098542,0.025659871,-1.649858944
mapkapk3,-0.515578686,3.575553187,-4.143894411,0.003101981,0.025678501,-1.72783643
crb3a,-0.53452747,2.407690817,-4.143298779,0.003104556,0.025689964,-1.488850761
gpr22b,0.353044105,3.486450025,4.141912809,0.003110557,0.025729756,-1.73027893
si:ch211-207l14.1,0.428526718,3.458831424,4.141295551,0.003113234,0.02574203,-1.725023579
cthrc1b,0.587835703,2.513933515,4.13947999,0.003121121,0.025791916,-1.524847692
ca16b,0.888486211,3.436959261,4.139356733,0.003121657,0.025791916,-1.718550709
esrrgb,0.695618181,1.583067511,4.137693241,0.003128904,0.025835601,-1.398255477
ldha,0.190785151,8.293423795,4.137517133,0.003129672,0.025835601,-2.50244427
unc45a,-0.254111618,4.794335487,-4.137243826,0.003130865,0.025835601,-2.02630507
acin1a,0.384340064,6.953719485,4.137044924,0.003131733,0.025835601,-2.386844947
ppp2r5ca,0.263667261,4.797070793,4.136027102,0.00313618,0.025862403,-2.037961546
s1pr3a,-1.120659028,0.349420162,-4.135497728,0.003138496,0.025871614,-1.392004487
ubp1,0.29598449,4.865753489,4.13518412,0.003139869,0.025873047,-2.054006106
fmo5,-0.802659775,3.386118139,-4.132315117,0.003152457,0.025965804,-1.688335733
slc2a9l2,-0.619033865,2.912664134,-4.132070729,0.003153532,0.025965804,-1.595920934
filip1a,0.74753719,1.787540055,4.130835912,0.003158969,0.026000648,-1.428227531
crygm2d17,0.328677133,7.546906135,4.128557544,0.003169026,0.026072506,-2.455542318
si:ch211-201o1.1,-0.787447545,1.727705869,-4.128311323,0.003170115,0.026072506,-1.414157384
gria2b,0.217928906,6.307977284,4.127146212,0.003175274,0.026104983,-2.321408915
gpx4a,-0.271900047,6.936348234,-4.124864489,0.003185402,0.026168854,-2.398130891
xkr5b,0.628508451,2.206178728,4.12484971,0.003185468,0.026168854,-1.493394175
serpinb1l3,-0.169655683,6.944262437,-4.123898252,0.003189702,0.026193664,-2.40168054
timm17a,0.248977849,5.913910781,4.123149802,0.003193036,0.026211075,-2.267825632
znf574,0.432697161,4.038874946,4.121437678,0.003200679,0.026238833,-1.88972192
arpc4,-0.218301144,5.630812174,-4.121415393,0.003200778,0.026238833,-2.215914398
pla2g7,-0.509178614,4.745197274,-4.121324248,0.003201186,0.026238833,-2.030548794
emilin3a,0.51351266,2.904985495,4.121302925,0.003201281,0.026238833,-1.628418701
abrab,0.651529466,3.203810199,4.119912743,0.003207502,0.026279842,-1.696244778
nr4a1,0.801212671,4.026666262,4.119367995,0.003209943,0.026289864,-1.887450878
ptprk,-0.249927786,6.857282917,-4.117942875,0.00321634,0.026326096,-2.399723386
anxa11a,-0.19547789,7.075011623,-4.117838843,0.003216807,0.026326096,-2.424463599
pcsk6,-0.316094095,4.852420853,-4.116894644,0.003221053,0.026350851,-2.067075575
vcla,0.326100607,6.021219936,4.11652885,0.0032227,0.026354331,-2.295163716
ahnak,-0.435920853,8.692548704,-4.114808707,0.003230455,0.026407743,-2.563761733
pkma,-0.19694628,8.569279813,-4.11421603,0.003233131,0.026419616,-2.55661842
tnnt2d,0.334551002,6.287376792,4.11239446,0.003241373,0.026476936,-2.341031382
