,logFC,AveExpr,t,P.Value,adj.P.Val,B
LOC103911967,-0.16414657,2.49320271,-0.772718231,0.461489763,0.647425687,-6.16581383
hspb11,-0.171925432,0.452909364,-0.772681972,0.461510068,0.647425687,-5.6089511
si:dkey-183j2.10,0.246754631,2.736562126,0.772632524,0.461537761,0.647425687,-6.247712605
prdm8b,0.062286634,3.769507553,0.772619468,0.461545073,0.647425687,-6.559423271
LOC100536376,0.244245909,-0.857320959,0.772616162,0.461546925,0.647425687,-5.348414208
si:ch211-210c8.6,-0.103318077,4.353963301,-0.772496843,0.461613753,0.64747177,-6.717449939
cbsa,0.255190209,2.776877749,0.772440095,0.461645538,0.64747177,-6.260206276
greb1l,-0.074706829,3.622653182,-0.772296879,0.461725762,0.64747177,-6.5132336
si:dkey-15h8.15,-0.134320092,1.5578545,-0.772287905,0.461730789,0.64747177,-5.89131809
smx5,0.16822413,1.304803065,0.772264112,0.461744119,0.64747177,-5.82539592
extl2,-0.114690744,2.471474322,-0.772219619,0.461769044,0.64747177,-6.160942675
filip1b,-0.061715003,4.285184556,-0.77207896,0.46184785,0.64747177,-6.700688924
slc16a3a,0.108496185,2.776267165,0.772076531,0.461849212,0.64747177,-6.258529158
npas4b,-0.290791264,-0.126492392,-0.772069205,0.461853316,0.64747177,-5.483728037
plekho1a,-0.092028863,3.458377524,-0.772016403,0.461882902,0.64747177,-6.464110184
ccni2,-0.06191582,3.99583345,-0.771943065,0.461923995,0.64747177,-6.621489572
LOC137487275,0.076174967,3.340371366,0.77191486,0.461939801,0.64747177,-6.432378105
ctbs,0.248436935,1.246747218,0.771712057,0.462053454,0.647588588,-5.810495658
prkg2,-0.192481982,0.024916431,-0.771659057,0.462083159,0.647588588,-5.516358647
sim2,0.20665537,1.786855987,0.771543409,0.462147981,0.647637375,-5.964480469
pnpla7a,-0.081725371,3.3280924,-0.771459932,0.462194774,0.647651961,-6.424786603
sumf1,-0.125857229,3.177394466,-0.77141777,0.46221841,0.647651961,-6.37791063
cela1.1,-0.155804908,1.105760126,-0.771143807,0.462372008,0.64777493,-5.769014104
LOC100331349,-0.066380584,3.596534949,-0.771123661,0.462383305,0.64777493,-6.506704118
zgc:174275,0.158572601,0.594885537,0.77110063,0.462396219,0.64777493,-5.646178889
nopchap1,0.192636267,1.826003415,0.770856888,0.462532907,0.647924359,-5.976171465
srd5a2a,0.117966096,3.752277517,0.770687662,0.462627824,0.648000779,-6.556961207
dad1,0.044150928,5.77815452,0.770652559,0.462647514,0.648000779,-7.041972183
